,city,lngs,lats,max_temp,humidity,cloudiness,wind_speed
0,Blairmore,-114.44,49.6,73.4,46.0,1.0,12.75
1,Bredasdorp,20.04,-34.53,57.2,93.0,100.0,10.29
2,Kapaa,-159.32,22.08,81.0,74.0,20.0,14.99
3,Port Alfred,26.89,-33.59,62.35,72.0,0.0,16.22
4,Thompson,-97.86,55.74,51.8,76.0,90.0,8.05
6,Puerto Ayora,-90.35,-0.74,75.2,60.0,75.0,20.8
8,George Town,100.34,5.41,78.8,94.0,20.0,4.23
9,Port Elizabeth,25.57,-33.92,62.6,77.0,0.0,24.16
10,Tokmak,35.71,47.25,70.38,32.0,99.0,2.39
12,Bluff,168.33,-46.6,45.0,72.0,96.0,11.01
13,Saskylakh,114.08,71.92,53.15,60.0,97.0,7.49
14,Souillac,57.52,-20.52,69.8,83.0,40.0,11.41
15,Tasiilaq,-37.64,65.61,44.6,70.0,5.0,9.17
16,Alta Floresta,-56.09,-9.88,95.0,39.0,75.0,6.93
17,Hobart,147.33,-42.88,48.2,57.0,100.0,10.29
18,Mataura,168.86,-46.19,45.0,72.0,70.0,11.01
19,Verāval,70.37,20.9,81.39,84.0,100.0,18.25
20,Cape Town,18.42,-33.93,59.0,93.0,75.0,5.82
22,East London,27.91,-33.02,64.4,82.0,40.0,20.8
23,Yuma,-114.62,32.73,107.6,23.0,40.0,6.93
24,Hithadhoo,73.08,-0.6,82.09,76.0,100.0,9.6
25,Klyuchi,79.17,52.27,56.1,79.0,0.0,9.37
26,Montefiascone,12.04,42.54,80.6,57.0,40.0,11.41
27,Talnakh,88.4,69.49,57.2,82.0,67.0,8.95
28,Yakima,-120.67,46.47,80.01,22.0,1.0,4.7
30,Tiksi,128.87,71.69,36.61,88.0,0.0,10.49
31,Sakakah,40.21,29.97,95.0,14.0,0.0,4.47
32,Rikitea,-134.97,-23.12,69.6,77.0,0.0,11.01
33,Lamu,40.9,-2.27,76.5,82.0,0.0,13.89
35,Isangel,169.27,-19.55,71.71,87.0,100.0,15.19
36,Kenai,-151.26,60.55,57.99,87.0,90.0,4.7
37,Jamestown,-79.24,42.1,78.01,78.0,75.0,16.11
38,Busselton,115.33,-33.65,48.99,76.0,43.0,3.76
